,nome,cpf,ideade,nascimento,address,estado,country
0,Giovanna Barros,862.190.743-78,38,27/05/1987,<bound method Provider.address of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,<bound method Provider.administrative_unit of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,Brasil
1,João Felipe Freitas,172.934.568-91,41,30/10/1983,<bound method Provider.address of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,<bound method Provider.administrative_unit of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,Brasil
2,Ana Sophia Campos,457.380.129-41,51,05/10/1973,<bound method Provider.address of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,<bound method Provider.administrative_unit of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,Brasil
3,Kamilly Brito,870.593.462-10,32,25/04/1993,<bound method Provider.address of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,<bound method Provider.administrative_unit of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,Brasil
4,Dr. Cauã Vasconcelos,024.796.183-31,18,03/08/2006,<bound method Provider.address of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,<bound method Provider.administrative_unit of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,Brasil
5,Dr. Caleb Pires,521.674.398-73,33,03/02/1992,<bound method Provider.address of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,<bound method Provider.administrative_unit of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,Brasil
6,Ana Julia Campos,738.560.914-75,24,23/02/2001,<bound method Provider.address of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,<bound method Provider.administrative_unit of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,Brasil
7,Dr. João Miguel Moraes,240.716.895-01,27,15/04/1998,<bound method Provider.address of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,<bound method Provider.administrative_unit of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,Brasil
8,Sr. João Vitor Rocha,614.283.507-80,39,26/05/1986,<bound method Provider.address of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,<bound method Provider.administrative_unit of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,Brasil
9,Stephany Lima,029.354.176-07,37,25/11/1987,<bound method Provider.address of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,<bound method Provider.administrative_unit of <faker.providers.address.pt_BR.Provider object at 0x10d2f4ec0>>,Brasil
