,nome,cpf,ideade,nascimento,address,estado,country
0,Paulo da Mata,084.579.163-00,51,28/08/1973,"Praia Nina da Mota, 24
Jardim Guanabara
18347-646 Oliveira do Campo / AC",São Paulo,Brasil
1,Olivia Barros,715.340.926-25,46,17/05/1979,"Chácara Araújo, 92
Madri
84695-831 da Mota de Melo / PA",Rio de Janeiro,Brasil
2,Natália da Rocha,261.347.890-03,25,23/05/2000,"Vereda Laís da Conceição, 636
Vila Independencia 1ª Seção
78062-559 Nunes das Pedras / TO",Rio Grande do Norte,Brasil
3,Eloá Novaes,692.871.403-40,56,04/08/1968,"Chácara da Paz, 58
Juliana
81109-026 Cassiano / PI",Rio de Janeiro,Brasil
4,Maria Flor Garcia,761.082.543-35,41,17/02/1984,"Chácara Duarte, 81
Vila Jardim Montanhes
48207463 Monteiro Verde / MS",Paraná,Brasil
5,Dra. Carolina Lopes,832.047.659-38,34,29/03/1991,"Lago Asafe Brito, 16
Candelaria
71366584 da Costa de Minas / RN",Espírito Santo,Brasil
6,Pedro Lucas Ribeiro,506.394.281-42,42,29/11/1982,"Condomínio Maria Flor Alves, 55
São Cristóvão
23113309 Nogueira / MS",Pará,Brasil
7,Cauã Machado,293.084.715-88,36,31/01/1989,"Vereda de da Mata, 3
Nova Pampulha
37658-413 Mendes / PR",Pernambuco,Brasil
8,Sra. Marina Mendes,148.569.270-94,32,29/08/1992,"Fazenda Juan Castro, 51
Lindéia
23856-930 Marques de Minas / PE",Rio Grande do Sul,Brasil
9,Dra. Ana Laura Melo,831.459.072-04,30,15/10/1994,"Viela de Rios, 62
Vila Dos Anjos
76229841 Siqueira do Oeste / CE",Acre,Brasil
